postcode,SEIFA_advantage_disadvantage,SEIFA_disadvantage,SEIFA_economic,SEIFA_education_occupation
2151,4,4,4,5
2152,4,4,4,4
2153,5,5,5,5
2154,5,5,5,5
2155,5,5,5,5
2156,5,5,5,5
2157,5,5,5,4
2158,5,5,5,5
2159,5,5,5,5
2160,2,1,1,3
2161,1,1,1,2
2162,1,1,1,2
2163,1,1,1,1
2164,2,1,2,1
2165,1,1,1,1
2166,1,1,1,1
2167,4,4,4,3
2168,1,1,1,1
2170,2,2,2,3
2171,4,4,5,3
2172,5,5,5,5
2173,5,5,5,4
2174,2,2,2,1
2175,4,3,5,2
2176,3,2,4,3
2177,1,1,2,2
2178,4,4,5,3
2179,3,2,4,2
2190,1,1,2,3
2191,3,3,3,3
2192,1,1,1,3
2193,4,3,3,4
2194,1,1,1,3
2195,1,1,1,2
2196,1,1,1,2
2197,2,1,2,2
2198,4,4,4,3
2199,1,1,1,2
2200,1,1,1,3
2203,4,4,2,5
2204,3,3,2,4
2205,3,3,2,4
2206,4,4,4,4
2207,4,3,4,4
2208,4,3,4,4
2209,3,3,3,4
2210,3,3,3,4
2211,4,4,4,4
2212,3,3,3,3
2213,4,4,4,4
2214,4,5,5,3
2216,3,3,2,4
2217,4,4,3,4
2218,4,3,2,4
2219,4,4,4,4
2220,3,3,2,4
2221,5,5,5,4
2222,4,4,3,4
2223,5,5,4,4
2224,5,5,5,4
2225,5,5,5,5
2226,5,5,5,5
2227,5,5,5,4
2228,4,4,4,4
2229,5,5,5,4
2230,5,5,4,4
2231,4,4,5,2
2232,5,5,5,4
2233,5,5,5,4
2234,5,5,5,4
2250,3,4,3,3
2251,4,4,5,4
2256,2,2,1,2
2257,2,2,2,2
2258,4,4,5,4
2259,3,3,4,2
2260,5,5,5,4
2261,2,2,2,2
2262,1,1,2,1
2263,1,1,1,1
2264,3,3,3,3
2265,3,3,4,4
2267,3,3,3,3
2278,3,4,5,1
2280,3,4,4,3
2281,3,3,3,2
2282,4,4,5,4
2283,3,3,3,3
2284,2,2,2,1
2285,3,4,4,2
2286,2,2,3,1
2287,3,3,3,3
2289,4,4,4,4
2290,3,4,4,3
2291,5,5,4,5
2292,3,3,1,3
2293,4,4,2,4
2294,2,2,1,4
2295,2,2,2,2
2296,3,3,1,4
2297,3,3,1,4
2298,2,2,1,3
2299,3,2,1,4
2300,4,4,1,5
2302,3,3,1,5
2303,3,2,1,4
2304,2,2,1,3
2305,4,4,4,4
2306,1,1,1,1
2307,2,2,1,1
2311,3,3,4,3
2312,1,2,3,1
2315,3,3,3,3
2316,3,3,4,2
2317,3,3,3,3
2318,4,4,5,3
2319,2,2,2,1
2320,3,3,4,2
2321,4,4,5,2
2322,2,3,4,1
2323,3,3,3,3
2324,2,2,2,1
2325,1,1,2,1
2326,1,1,2,1
2327,1,1,1,1
2328,3,3,4,1
2329,2,2,2,2
2330,4,4,4,1
2333,2,2,3,1
2334,2,2,3,1
2335,4,4,5,2
2336,3,3,4,1
2337,3,3,4,2
2338,2,2,2,2
2339,2,2,3,2
2340,2,2,2,2
2341,1,1,1,1
2342,4,4,4,4
2343,2,2,2,1
2344,4,4,5,3
2345,3,3,5,2
2346,1,1,1,1
2347,1,1,1,1
2350,3,3,2,4
2352,2,3,3,1
2353,3,3,4,1
2354,3,3,3,3
2355,2,2,2,2
2357,1,1,1,3
2358,3,3,3,3
2359,1,1,1,1
2360,1,2,2,1
2361,1,1,1,1
2365,3,3,3,3
2369,1,1,1,1
2370,1,1,1,2
2371,1,1,1,1
2372,1,2,2,2
2380,2,2,2,1
2381,2,2,3,3
2382,1,1,2,1
2386,3,3,4,3
2388,2,2,2,2
2390,2,3,2,2
2395,1,1,1,1
2396,1,1,1,2
2397,4,4,4,4
2399,3,3,4,3
2400,2,2,1,2
2401,3,2,4,3
2402,2,2,2,2
2403,1,1,3,1
2404,1,1,2,2
2405,4,4,4,4
2406,2,2,2,3
2408,4,4,4,4
2409,1,1,1,1
2410,1,2,3,2
2415,2,2,3,2
2420,2,2,3,2
2421,4,4,5,3
2422,2,2,2,2
2423,1,1,2,1
2424,1,1,1,2
2425,2,2,3,1
2426,1,1,1,1
2427,1,1,1,1
2428,1,1,1,1
2429,1,1,2,1
2430,1,1,1,1
2431,1,2,2,2
2439,3,3,4,2
2440,1,1,1,1
2441,2,2,3,2
2443,1,1,1,1
2444,3,3,2,3
2445,3,4,4,3
2446,2,2,3,2
2447,1,1,2,1
2448,1,1,1,1
2449,1,1,1,1
2450,2,2,2,3
2452,2,2,1,2
2453,2,2,2,3
2454,2,2,2,4
2455,1,1,1,1
2456,2,2,2,2
2460,1,1,1,1
2462,1,1,1,1
2463,2,2,2,1
2464,2,2,2,2
2465,2,2,2,2
2466,1,1,1,1
2469,1,1,1,2
2470,1,1,1,1
2471,1,1,2,1
2472,1,2,2,1
2473,1,1,1,1
2474,1,1,2,2
2475,1,1,2,2
2476,1,1,1,1
2477,3,3,3,3
2478,3,3,3,3
2479,4,4,4,4
2480,2,2,2,3
2481,4,3,2,4
2482,2,2,2,4
2483,2,2,2,3
2484,2,2,2,2
2485,1,1,1,1
2486,2,3,3,2
2487,3,3,3,3
2488,2,2,2,2
2489,3,3,4,3
2490,3,3,4,2
2500,3,3,1,4
2502,1,1,1,1
2505,1,1,1,1
2506,1,1,1,1
2508,5,5,5,4
2515,5,5,5,5
2516,4,4,4,4
2517,4,4,3,4
2518,2,2,1,2
2519,3,3,3,4
2525,4,4,5,4
2526,4,4,4,3
2527,3,3,4,1
2528,1,1,1,1
2529,4,4,4,3
2530,3,3,4,1
2533,4,4,5,4
2534,4,4,4,4
2535,4,4,4,4
2536,2,2,2,2
2537,2,2,2,2
2538,3,4,4,4
2539,2,2,2,2
2540,2,2,3,2
2541,1,1,1,1
2545,2,3,3,3
2546,2,2,2,2
2548,3,4,3,3
2549,3,3,3,3
2550,2,3,3,3
2551,1,1,1,1
2555,1,1,2,1
2556,4,4,5,2
2557,4,3,5,2
2558,3,3,4,2
2559,1,1,1,1
2560,2,2,3,2
2563,3,3,4,1
2564,1,1,1,1
2565,3,3,3,3
2566,3,3,3,2
2567,5,5,5,3
2568,4,5,5,4
2569,4,4,5,3
2570,4,4,5,4
2571,4,4,5,3
2572,4,4,5,3
2573,2,2,3,1
2574,4,4,5,2
2575,3,4,4,3
2576,4,4,5,4
2577,4,4,4,3
2578,4,4,4,4
2579,3,3,4,3
2580,2,2,2,2
2581,4,4,5,4
2582,4,4,5,4
2583,3,3,4,3
2584,3,4,4,4
2585,4,3,3,5
2586,3,3,3,3
2587,1,1,2,1
2588,4,3,4,4
2590,2,2,2,2
2594,2,2,2,2
2618,5,5,5,5
2619,5,5,5,5
2620,4,4,4,4
2621,5,5,5,4
2622,4,4,4,4
2623,3,4,4,3
2625,4,4,2,5
2626,4,4,5,4
2627,4,5,4,4
2628,3,4,4,3
2629,3,4,4,3
2630,3,3,2,3
2631,2,2,3,3
2632,2,2,2,2
2633,1,1,2,1
2640,3,3,3,3
2641,1,1,1,1
2642,4,4,4,3
2643,2,3,3,1
2644,3,3,3,3
2645,1,1,2,1
2646,2,2,2,1
2647,2,3,3,2
2648,1,1,2,2
2650,3,3,3,3
2651,3,4,3,1
2652,3,3,4,3
2653,2,2,2,1
2655,3,3,4,2
2656,3,3,4,3
2658,2,2,2,3
2659,3,4,4,2
2660,2,2,3,2
2661,5,5,4,4
2663,1,1,2,1
2665,2,2,3,3
2666,2,2,2,2
2668,1,1,2,3
2669,3,3,4,4
2671,2,3,3,1
2672,1,1,1,2
2675,2,2,3,2
2680,2,2,3,2
2681,3,3,3,2
2700,1,1,1,1
2701,3,4,4,3
2702,1,1,2,1
2703,2,2,1,1
2705,2,2,3,1
2706,1,1,1,1
2707,3,3,4,3
2710,2,2,2,2
2711,2,2,2,2
2712,2,2,2,2
2713,2,2,2,3
2714,2,2,2,2
2715,2,2,2,2
2716,2,2,2,3
2717,1,1,1,1
2720,2,2,2,1
2721,3,2,3,4
2722,2,2,3,1
2725,2,2,3,2
2726,4,4,4,4
2727,4,4,4,3
2729,3,3,4,2
2730,1,1,1,1
2731,3,3,3,2
2732,3,3,2,3
2733,2,2,2,3
2735,3,4,4,3
2736,3,3,3,3
2737,2,2,3,2
2738,4,4,5,4
2739,3,3,3,3
2745,5,5,5,3
2747,3,3,3,1
2748,4,4,5,3
2749,3,3,4,2
2750,3,3,3,3
2752,4,4,5,2
2753,4,4,4,3
2754,4,4,4,3
2756,4,4,4,2
2757,4,5,5,4
2758,5,5,5,4
2759,4,4,5,2
2760,1,1,1,1
2761,3,3,4,2
2762,4,4,4,3
2763,4,4,5,4
2765,3,4,4,2
2766,3,3,3,2
2767,2,2,3,2
2768,5,5,5,4
2769,5,5,5,5
2770,1,1,1,1
2773,5,5,5,5
2774,5,5,5,4
2775,2,2,2,3
2776,4,5,5,4
2777,4,5,5,4
2778,4,5,5,5
2779,4,4,4,4
2780,3,3,2,4
2782,4,4,4,4
2783,3,3,3,4
2784,4,4,4,4
2785,3,3,3,4
2786,3,3,2,3
2787,2,2,3,1
2790,1,1,2,1
2791,4,4,4,4
2792,3,2,3,3
2793,2,1,3,2
2794,1,1,2,1
2795,3,3,3,3
2797,1,1,2,1
2798,4,4,5,4
2799,2,2,3,1
2800,3,3,3,3
2803,3,3,4,4
2804,2,2,2,3
2805,1,1,1,2
2806,2,2,3,2
2807,1,1,1,1
2808,2,2,2,2
2809,2,2,3,3
2810,2,2,2,3
2820,1,1,1,2
2821,2,2,2,2
2823,1,1,1,2
2824,1,1,1,2
2825,2,2,2,2
2827,1,1,1,1
2828,1,1,1,2
2829,1,1,1,2
2830,3,3,3,2
2831,3,3,4,3
2832,1,1,1,3
2833,1,1,1,2
2834,1,1,1,1
2835,2,3,3,1
2836,1,1,1,1
2839,1,1,1,2
2840,2,2,1,3
2842,1,1,1,1
2843,2,2,2,3
2844,2,2,2,3
2845,2,2,3,1
2846,1,1,2,1
2847,1,1,3,1
2848,1,1,1,1
2849,3,3,3,3
2850,3,3,3,2
2852,2,2,3,1
2864,4,4,5,4
2865,2,2,2,1
2866,3,3,4,3
2867,2,1,3,3
2868,1,1,1,1
2869,1,1,1,2
2870,2,2,2,2
2871,2,2,2,2
2873,2,2,2,4
2874,2,2,3,3
2875,2,2,3,3
2876,1,1,2,3
2877,1,1,1,2
2878,1,1,1,1
2879,1,1,1,2
2880,1,1,1,1
2898,4,4,3,4
800,5,5,3,5
810,4,4,4,5
812,4,4,4,4
820,5,5,4,5
822,1,1,1,1
828,3,3,3,3
829,3,3,3,3
830,4,3,4,2
832,5,5,5,4
835,5,5,5,4
836,4,4,5,3
837,3,3,5,2
838,4,4,5,3
840,2,2,2,2
841,3,3,4,1
845,2,2,2,4
846,2,2,2,2
847,2,2,2,1
850,3,3,3,3
852,1,1,1,1
853,5,5,5,5
854,1,1,1,1
860,2,2,2,4
862,1,1,1,2
870,4,4,3,5
872,1,1,1,2
880,2,2,2,3
885,5,5,4,5
886,3,4,3,4
6798,NA,NA,NA,NA
6799,NA,NA,NA,NA
4000,5,5,1,5
4005,5,5,2,5
4006,5,5,1,5
4007,5,5,4,5
4008,1,1,1,1
4010,5,5,1,5
4011,5,5,4,5
4012,5,5,3,5
4013,4,4,2,5
4014,4,4,4,4
4017,4,4,4,4
4018,4,4,3,4
4019,2,2,1,3
4020,3,3,2,4
4021,2,2,1,1
4022,3,3,2,2
4025,2,3,1,4
4030,5,5,3,5
4031,5,5,3,5
4032,4,4,2,5
4034,4,4,4,4
4035,5,5,5,5
4036,4,5,5,3
4037,5,5,5,5
4051,5,5,4,5
4053,5,5,4,5
4054,4,4,4,5
4055,5,5,5,5
4059,5,5,2,5
4060,5,5,5,5
4061,5,5,5,5
4064,5,5,4,5
4065,5,5,5,5
4066,5,5,2,5
4067,5,5,1,5
4068,5,5,3,5
4069,5,5,5,5
4070,5,5,5,5
4073,5,5,5,5
4074,5,5,5,5
4075,5,5,5,5
4076,2,1,1,3
4077,1,1,1,1
4078,5,5,5,4
4101,5,4,1,5
4102,4,3,1,5
4103,5,4,2,5
4104,5,5,3,5
4105,4,4,2,5
4106,2,2,1,3
4107,4,4,3,5
4108,3,2,1,4
4109,4,4,3,5
4110,2,1,2,2
4111,5,5,3,5
4112,5,5,5,5
4113,5,4,4,5
4114,1,1,1,1
4115,5,5,5,4
4116,5,5,5,5
4117,5,4,5,4
4118,3,3,4,2
4119,5,5,5,4
4120,5,5,2,5
4121,5,5,4,5
4122,4,4,3,5
4123,4,5,4,4
4124,4,4,5,2
4125,4,4,5,2
4127,4,4,4,4
4128,5,5,5,4
4129,4,4,4,2
4130,5,5,5,4
4131,1,1,1,2
4132,1,1,2,1
4133,2,2,3,1
4151,5,5,3,5
4152,5,5,5,5
4153,5,5,5,5
4154,5,5,5,5
4155,5,5,5,5
4156,5,5,5,5
4157,4,4,5,3
4158,3,3,3,3
4159,5,5,5,4
4160,5,5,5,5
4161,4,4,4,3
4163,4,4,4,4
4164,5,5,5,4
4165,5,5,5,4
4169,5,5,1,5
4170,5,5,4,5
4171,5,5,5,5
4172,5,5,5,5
4173,4,4,4,4
4174,4,3,4,3
4178,3,3,3,4
4179,5,5,4,5
4183,1,1,1,3
4184,1,1,1,1
4205,1,1,1,2
4207,2,2,3,2
4208,5,5,5,4
4209,5,4,5,4
4210,5,4,5,4
4211,4,4,4,3
4212,5,5,5,5
4213,5,4,5,4
4214,4,4,4,4
4215,2,2,1,4
4216,4,3,3,4
4217,4,4,2,5
4218,4,4,3,5
4219,1,1,1,1
4220,4,4,3,4
4221,3,3,3,4
4223,4,4,4,4
4224,3,3,2,4
4225,2,2,1,3
4226,5,4,4,5
4227,4,3,3,4
4228,5,5,5,4
4229,4,4,1,5
4230,5,5,2,5
4270,5,5,5,3
4271,4,4,4,5
4272,5,5,5,5
4275,4,4,5,4
4280,4,4,5,2
4285,3,3,4,2
4287,1,1,2,3
4300,3,3,3,3
4301,2,2,2,1
4303,1,1,1,1
4304,1,1,1,1
4305,2,2,2,2
4306,4,4,5,4
4307,3,3,4,3
4309,3,3,4,2
4310,3,3,3,3
4311,1,1,3,1
4312,2,2,2,2
4313,1,1,1,1
4340,3,3,3,2
4341,2,1,3,1
4342,1,1,3,1
4343,2,2,2,1
4344,2,2,3,2
4346,2,3,3,2
4347,2,2,4,3
4350,3,3,2,4
4352,5,5,5,4
4353,3,3,4,4
4354,2,2,2,2
4355,1,1,2,3
4356,3,3,4,2
4357,2,2,2,2
4358,4,4,5,3
4359,3,4,4,4
4360,2,2,3,3
4361,2,2,2,3
4362,2,2,3,3
4363,3,3,4,3
4364,4,4,5,4
4365,1,1,1,1
4370,2,2,2,2
4371,2,2,3,2
4372,3,3,5,2
4373,1,1,1,1
4374,3,3,3,4
4375,2,3,4,2
4376,1,1,1,1
4377,2,2,4,1
4378,2,2,3,3
4380,2,2,2,2
4381,2,2,3,3
4382,3,3,4,5
4383,1,1,1,1
4385,1,1,1,2
4387,1,1,1,1
4388,1,1,2,2
4390,3,3,3,3
4400,3,3,4,1
4401,1,1,2,1
4402,1,1,2,3
4403,3,3,4,4
4404,4,4,5,4
4405,3,3,3,2
4406,3,3,4,4
4407,3,3,3,3
4408,3,3,4,3
4410,1,1,2,2
4411,4,4,5,4
4412,4,4,5,4
4413,3,3,4,2
4415,2,3,2,2
4416,4,5,4,4
4417,3,2,3,4
4419,3,3,4,4
4420,2,2,3,3
4421,1,1,1,1
4422,3,3,4,4
4424,3,2,3,4
4425,3,3,3,5
4427,1,1,2,1
4428,3,3,4,4
4454,3,3,4,3
4455,4,4,4,4
4462,4,4,5,5
4465,2,2,2,3
4468,3,3,3,4
4470,2,2,2,3
4472,2,2,2,2
4477,2,2,2,3
4478,3,3,3,2
4480,2,2,2,3
4481,2,2,3,2
4486,2,1,2,3
4487,2,2,2,3
4488,2,2,2,4
4490,1,1,1,3
4492,3,4,3,3
4494,4,4,3,5
4496,4,3,3,4
4497,3,3,3,4
4498,4,4,4,5
4500,5,5,5,4
4501,2,2,1,2
4502,4,5,5,4
4503,4,4,4,3
4504,5,5,5,4
4505,4,4,5,2
4506,2,2,3,1
4507,2,2,2,2
4508,1,1,1,1
4509,5,5,5,5
4510,1,1,1,1
4511,3,3,4,2
4512,4,4,5,3
4514,3,3,4,2
4515,1,1,3,1
4516,4,5,5,3
4517,1,1,2,1
4518,4,4,5,3
4519,3,3,4,2
4520,5,5,5,5
4521,5,5,5,5
4550,3,3,4,2
4551,3,3,3,3
4552,3,3,3,5
4553,4,4,5,4
4554,4,4,4,4
4555,4,4,5,4
4556,5,5,5,5
4557,4,4,3,4
4558,2,2,1,3
4559,4,4,5,4
4560,3,3,3,3
4561,3,3,4,3
4562,4,4,5,5
4563,3,3,4,4
4564,3,3,3,4
4565,3,2,2,3
4566,4,4,3,5
4567,4,4,3,5
4568,3,3,4,3
4569,2,2,2,3
4570,1,1,2,1
4571,2,2,2,4
4572,4,4,2,5
4573,4,4,4,5
4574,2,2,3,3
4575,4,4,3,4
4580,1,1,1,1
4581,2,2,1,3
4600,1,1,2,2
4601,2,1,2,3
4605,1,1,1,1
4606,1,1,1,1
4608,2,2,2,3
4610,2,2,2,2
4611,3,2,5,4
4612,2,2,3,4
4613,1,1,1,2
4614,1,1,1,1
4615,1,1,1,1
4620,2,1,3,3
4621,1,1,1,1
4625,1,2,2,2
4626,1,2,2,1
4627,1,1,1,1
4630,2,2,2,3
4650,1,1,1,1
4655,1,1,1,2
4659,1,1,1,1
4660,1,1,2,1
4662,1,1,1,1
4670,1,2,1,2
4671,1,1,1,1
4673,1,2,3,1
4674,1,1,1,1
4676,1,1,2,1
4677,2,2,2,1
4678,2,2,3,1
4680,4,4,5,2
4694,2,1,3,1
4695,2,2,3,1
4699,2,2,3,1
4700,2,2,1,3
4701,3,3,2,2
4702,3,3,4,2
4703,3,3,4,3
4705,5,5,5,4
4707,1,1,2,2
4709,5,5,5,4
4710,3,3,3,2
4711,5,5,5,3
4712,1,1,1,1
4713,1,1,1,1
4714,1,1,1,1
4715,3,3,4,2
4716,4,4,5,2
4717,4,4,4,2
4718,3,4,4,2
4719,2,2,2,2
4720,5,5,5,3
4721,4,4,4,2
4722,4,4,5,3
4723,4,4,5,3
4724,3,4,4,3
4725,3,3,3,3
4726,2,2,2,3
4727,3,3,4,3
4728,3,3,4,3
4730,3,3,2,4
4731,2,2,2,2
4733,5,5,5,5
4735,1,1,1,1
4737,3,3,4,1
4738,3,3,4,1
4739,1,2,3,1
4740,4,4,4,3
4741,3,3,4,2
4742,3,3,4,2
4743,4,5,4,2
4744,5,5,5,3
4745,4,5,4,1
4746,5,5,4,2
4750,5,5,5,3
4751,4,5,5,2
4753,5,5,5,2
4754,3,3,5,2
4756,1,1,2,1
4757,1,2,3,1
4798,2,2,3,1
4799,1,1,2,1
4800,3,3,4,2
4802,4,4,3,4
4803,5,4,2,5
4804,2,2,3,1
4805,2,2,2,1
4806,2,2,3,1
4807,2,2,2,2
4808,2,3,3,1
4809,2,2,3,2
4810,4,4,2,5
4811,4,4,4,3
4812,3,3,1,4
4814,4,4,3,4
4815,3,3,3,2
4816,1,1,1,1
4817,4,4,4,3
4818,4,4,5,3
4819,2,2,1,4
4820,2,2,2,2
4821,2,2,2,1
4822,3,3,3,3
4823,4,4,4,3
4824,2,2,1,2
4825,3,3,2,3
4828,1,1,1,1
4829,1,1,1,2
4830,1,1,1,1
4849,1,1,1,1
4850,2,2,2,2
4852,3,3,2,4
4854,1,2,2,1
4855,2,3,3,2
4856,3,3,4,3
4857,1,2,4,1
4858,3,3,3,2
4859,1,1,2,1
4860,1,1,1,1
4861,1,1,1,1
4865,3,3,3,2
4868,3,3,2,3
4869,3,3,3,2
4870,3,2,1,4
4871,1,1,1,1
4872,2,2,2,3
4873,2,2,1,2
4874,2,2,1,2
4875,1,1,1,3
4876,1,1,1,2
4877,4,4,2,4
4878,3,3,2,4
4879,4,5,4,5
4880,1,1,1,2
4881,2,2,2,4
4882,3,4,4,3
4883,2,2,1,3
4884,4,4,3,5
4885,2,2,2,3
4886,2,1,2,3
4887,1,1,1,2
4888,1,1,1,1
4890,1,1,1,1
4891,1,1,1,2
4895,1,1,1,1
5000,4,3,1,5
5006,5,5,3,5
5007,3,2,1,5
5008,2,1,1,3
5009,3,3,2,3
5010,1,1,1,2
5011,3,3,2,3
5012,1,1,1,1
5013,1,1,1,1
5014,2,2,1,2
5015,2,2,1,3
5016,3,3,3,3
5017,1,1,1,1
5018,4,4,4,3
5019,3,2,2,4
5020,5,5,4,4
5021,5,5,4,4
5022,5,4,3,5
5023,1,1,1,2
5024,4,4,4,4
5025,4,4,3,3
5031,3,3,1,5
5032,4,4,2,4
5033,2,2,1,3
5034,5,5,4,5
5035,4,4,2,5
5037,3,3,2,4
5038,3,3,1,4
5039,3,3,1,4
5040,4,4,2,4
5041,5,5,4,5
5042,3,3,2,4
5043,2,1,1,3
5044,4,4,3,5
5045,5,4,3,5
5046,3,3,2,4
5047,3,2,2,4
5048,4,4,3,5
5049,5,5,5,5
5050,5,5,5,5
5051,5,5,5,5
5052,5,5,5,5
5061,5,5,4,5
5062,5,5,5,5
5063,5,5,3,5
5064,5,5,5,5
5065,5,5,4,5
5066,5,5,5,5
5067,5,5,2,5
5068,5,4,3,5
5069,5,5,4,5
5070,4,3,2,5
5072,5,4,4,5
5073,4,4,3,5
5074,3,2,2,3
5075,4,4,4,4
5076,5,5,5,4
5081,5,5,4,5
5082,4,4,3,5
5083,4,4,2,5
5084,1,1,1,2
5085,2,2,1,3
5086,3,2,1,4
5087,3,3,1,4
5088,1,1,1,2
5089,5,5,5,5
5090,4,4,3,3
5091,5,5,5,4
5092,4,4,3,3
5093,3,3,3,2
5094,1,1,1,1
5095,4,4,3,4
5096,3,3,3,2
5097,4,4,4,3
5098,2,2,2,2
5107,1,1,2,1
5108,1,1,1,1
5109,2,2,2,1
5110,2,2,3,1
5112,1,1,1,1
5113,1,1,1,1
5114,2,2,3,1
5115,1,1,2,1
5116,2,2,2,2
5117,5,5,5,2
5118,4,3,4,3
5120,2,2,4,2
5121,2,2,4,1
5125,5,4,4,4
5126,4,5,4,3
5127,4,4,4,4
5131,5,5,5,4
5132,5,5,5,4
5133,5,5,5,5
5134,5,5,5,5
5136,5,5,5,5
5137,5,5,5,5
5138,5,5,5,5
5139,5,5,5,5
5140,5,5,5,5
5141,5,5,5,5
5142,5,5,5,4
5144,5,5,5,5
5151,5,5,5,5
5152,5,5,5,5
5153,5,5,5,5
5154,5,5,5,5
5155,5,5,5,5
5156,5,5,5,5
5157,5,5,5,5
5158,5,5,5,4
5159,5,5,5,4
5161,3,3,3,2
5162,2,3,3,2
5163,1,1,2,1
5164,1,1,1,1
5165,1,1,1,2
5166,1,1,1,1
5167,3,3,3,3
5168,1,1,1,1
5169,3,3,3,2
5170,4,4,3,3
5171,4,4,5,4
5172,5,5,5,4
5173,2,2,3,2
5174,2,2,3,2
5201,4,4,5,4
5202,3,3,4,3
5203,3,3,3,3
5204,2,2,2,2
5210,4,4,5,3
5211,2,2,2,2
5212,2,3,3,3
5213,3,3,3,4
5214,2,2,2,2
5220,2,2,1,3
5221,1,1,1,2
5222,3,3,3,4
5223,3,3,3,3
5231,5,5,5,4
5232,5,5,5,5
5233,4,4,5,4
5234,4,4,5,4
5235,3,3,4,3
5236,3,3,4,3
5237,1,1,2,1
5238,1,1,2,1
5240,5,5,5,5
5241,3,4,4,3
5242,4,5,4,5
5243,5,5,5,5
5244,4,5,5,4
5245,5,5,5,5
5250,5,5,5,5
5251,4,4,3,3
5252,4,4,4,4
5253,1,1,1,1
5254,3,3,4,2
5255,4,4,4,3
5256,2,1,2,2
5259,1,1,1,2
5260,1,1,1,1
5261,4,4,4,5
5262,4,4,5,5
5263,5,5,5,5
5264,2,2,2,2
5265,4,4,4,5
5266,3,4,4,3
5267,4,4,4,4
5268,2,2,3,1
5269,2,2,4,3
5270,4,4,5,4
5271,3,3,3,2
5272,5,5,5,5
5275,2,3,3,2
5276,4,4,4,3
5277,2,2,2,1
5278,2,1,2,2
5279,1,1,1,1
5280,1,2,2,1
5290,1,1,1,1
5291,4,4,5,2
5301,3,3,4,4
5302,3,3,3,4
5303,4,4,4,4
5304,2,2,2,2
5307,3,3,3,4
5308,3,3,4,4
5309,4,3,4,4
5311,3,3,4,3
5320,1,1,1,1
5321,1,1,2,1
5322,2,2,3,1
