postcode,SEIFA_advantage_disadvantage,SEIFA_disadvantage,SEIFA_economic,SEIFA_education_occupation
2306,1,1,1,1
2307,2,1,1,2
2311,3,3,4,3
2312,1,1,1,1
2315,3,3,3,3
2316,3,3,3,3
2317,3,3,3,3
2318,3,4,4,2
2319,2,2,2,1
2320,3,3,3,2
2321,4,4,4,3
2322,3,3,3,1
2323,3,3,3,3
2324,2,2,1,1
2325,1,1,2,1
2326,1,1,1,1
2327,1,1,1,1
2328,3,3,4,2
2329,2,2,2,3
2330,3,4,4,2
2333,3,2,3,1
2334,3,4,4,3
2335,3,4,4,2
2336,2,3,3,1
2337,3,3,3,2
2338,2,2,2,1
2339,2,3,3,3
2340,3,3,2,2
2341,1,1,1,1
2342,2,2,2,3
2343,2,2,2,3
2344,4,4,4,4
2345,3,3,4,3
2346,1,1,1,2
2347,1,1,1,2
2350,3,3,2,4
2352,3,3,4,2
2353,2,3,3,2
2354,2,3,3,3
2355,1,1,2,2
2356,1,1,1,2
2357,1,1,1,2
2358,2,3,2,3
2359,1,1,1,1
2360,1,2,1,1
2361,1,1,1,1
2365,2,2,2,3
2369,1,1,1,1
2370,1,1,1,2
2371,1,1,2,3
2372,1,2,2,2
2379,4,4,5,5
2380,2,2,1,1
2381,2,2,3,3
2382,1,1,2,1
2386,1,1,1,1
2387,3,4,4,4
2388,2,2,2,3
2390,2,2,2,2
2395,1,1,1,1
2396,1,1,1,1
2397,2,3,4,4
2399,2,2,3,2
2400,2,2,2,2
2401,2,2,3,3
2402,1,2,2,2
2403,1,1,2,1
2404,1,1,1,2
2405,4,4,5,4
2406,2,2,1,3
2408,3,4,4,5
2409,1,1,1,1
2410,1,1,1,1
2411,3,4,4,4
2415,1,2,2,2
2420,3,3,4,3
2421,4,4,4,3
2422,2,2,2,2
2423,1,2,2,1
2424,1,1,1,1
2425,2,2,3,2
2426,1,1,1,1
2427,1,1,1,1
2428,2,2,2,1
2429,1,2,2,1
2430,2,2,2,1
2431,2,2,2,1
2439,2,3,3,2
2440,1,1,1,1
2441,2,2,2,2
2443,1,1,1,1
2444,3,3,2,3
2445,3,4,4,3
2446,2,2,3,2
2447,1,1,1,1
2448,1,1,1,1
2449,1,1,1,1
2450,3,2,2,3
2452,2,1,1,1
2453,2,2,2,3
2454,3,3,2,4
2455,1,1,1,1
2456,2,2,2,2
2460,1,2,1,1
2462,1,1,1,1
2463,1,1,2,1
2464,2,2,2,2
2465,1,1,1,2
2466,1,1,1,1
2469,1,1,1,2
2470,1,1,1,1
2471,1,1,2,1
2472,1,2,2,1
2473,1,1,1,1
2474,1,1,1,2
2475,1,1,1,1
2476,1,1,1,2
2477,3,4,3,4
2478,3,3,2,3
2479,4,4,4,4
2480,3,2,2,3
2481,4,3,3,4
2482,3,3,2,4
2483,3,2,2,3
2484,2,2,2,2
2485,2,1,1,1
2486,3,3,3,2
2487,3,2,2,3
2488,3,3,3,3
2489,3,2,3,2
2490,3,3,3,1
2500,4,3,2,4
2502,1,1,1,1
2505,1,1,1,1
2506,1,1,1,1
2508,5,5,5,4
2515,5,5,4,5
2516,4,4,3,4
2517,4,4,3,4
2518,2,2,1,2
2519,4,3,3,4
2525,4,4,4,4
2526,4,4,4,3
2527,3,4,4,2
2528,1,1,1,1
2529,3,4,4,2
2530,3,3,3,1
2533,4,5,4,4
2534,4,4,4,4
2535,4,4,4,4
2536,2,2,2,2
2537,2,2,2,3
2538,3,3,3,3
2539,2,2,2,2
2540,3,3,3,2
2541,2,1,1,2
2545,1,2,1,2
2546,2,2,2,2
2548,3,4,3,3
2549,3,3,3,3
2550,2,3,2,3
2551,1,1,1,1
2555,3,2,4,1
2556,4,4,5,2
2557,4,4,5,3
2558,3,4,4,2
2559,1,1,1,1
2560,3,2,3,2
2563,3,3,4,3
2564,1,1,1,1
2565,3,3,3,3
2566,3,2,2,2
2567,4,5,5,3
2568,5,5,5,4
2569,4,4,5,3
2570,4,4,5,4
2571,4,4,5,3
2572,4,4,4,3
2573,3,3,3,1
2574,3,4,4,2
2575,3,4,4,3
2576,4,5,5,4
2577,4,4,4,4
2578,4,4,4,4
2579,3,4,4,3
2580,2,2,2,2
2581,4,4,4,4
2582,4,4,4,4
2583,2,3,3,3
2584,1,2,3,2
2585,2,2,3,3
2586,2,3,3,3
2587,2,2,2,2
2588,1,1,2,2
2590,2,2,2,2
2594,2,2,2,2
2600,NA,NA,NA,NA
2601,NA,NA,NA,NA
2602,NA,NA,NA,NA
2603,NA,NA,NA,NA
2604,NA,NA,NA,NA
2605,NA,NA,NA,NA
2606,NA,NA,NA,NA
2607,NA,NA,NA,NA
2609,NA,NA,NA,NA
2611,NA,NA,NA,NA
2612,NA,NA,NA,NA
2614,NA,NA,NA,NA
2615,NA,NA,NA,NA
2617,NA,NA,NA,NA
2618,5,5,5,5
2619,5,5,5,5
2620,4,4,4,4
2621,5,5,5,5
2622,3,4,4,4
2623,2,2,2,2
2624,4,5,4,4
2625,4,4,1,5
2626,3,4,4,2
2627,4,5,4,4
2628,3,4,4,3
2629,2,3,3,3
2630,3,3,3,3
2631,2,3,3,3
2632,2,2,2,3
2633,1,1,1,1
2640,3,3,3,3
2641,2,2,2,1
2642,3,4,4,4
2643,2,3,3,1
2644,3,3,3,3
2645,1,2,2,3
2646,2,3,3,1
2647,2,3,3,2
2648,1,2,2,2
2650,3,3,3,3
2651,2,3,3,1
2652,3,3,4,3
2653,2,2,2,1
2655,3,3,3,2
2656,3,4,4,3
2658,2,3,3,3
2659,3,4,4,3
2660,2,2,2,1
2663,1,1,1,1
2665,2,3,3,3
2666,2,2,2,2
2668,1,1,2,2
2669,2,4,4,4
2671,2,3,3,1
2672,1,1,1,2
2675,2,2,3,2
2680,3,3,3,2
2681,3,3,4,2
2700,1,1,1,2
2701,2,3,3,2
2702,1,2,2,1
2703,2,3,3,2
2705,2,2,3,1
2706,1,1,2,1
2707,3,3,4,3
2710,2,2,2,2
2711,2,2,2,2
2712,1,2,2,2
2713,2,2,2,2
2714,2,3,3,3
2715,1,1,1,2
2716,2,3,3,3
2717,1,1,1,1
2720,2,2,2,1
2721,2,2,3,4
2722,1,2,2,1
2725,1,1,1,1
2726,1,2,3,1
2727,3,4,4,4
2729,2,3,3,3
2730,1,1,1,1
2731,3,3,4,2
2732,3,3,3,3
2733,2,3,3,3
2734,2,3,3,4
2735,1,2,2,3
2736,2,3,3,3
2737,2,2,3,1
2738,3,4,4,3
2739,2,2,2,2
2745,4,5,5,3
2747,3,3,3,2
2748,4,4,5,4
2749,4,4,4,2
2750,3,3,3,2
2752,4,4,5,2
2753,4,4,4,3
2754,4,4,4,3
2755,4,5,4,5
2756,4,4,4,3
2757,4,5,5,4
2758,4,5,5,4
2759,4,4,5,2
2760,1,1,1,1
2761,3,4,4,2
2762,4,4,4,2
2763,4,4,5,4
2765,3,3,4,2
2766,3,3,3,2
2767,3,2,2,3
2768,5,5,5,4
2770,1,1,1,1
2773,5,5,5,5
2774,5,5,5,4
2775,3,3,3,3
2776,5,5,5,5
2777,4,5,5,4
2778,4,5,4,4
2779,4,4,4,4
2780,3,3,2,4
2782,4,4,4,4
2783,4,4,3,4
2784,4,4,3,4
2785,4,4,3,4
2786,3,3,3,4
2787,3,3,4,2
2790,2,2,1,1
2791,1,1,2,1
2792,1,1,2,1
2793,1,1,1,1
2794,2,2,2,1
2795,3,3,3,3
2797,2,2,2,1
2798,4,4,4,4
2799,2,2,2,2
2800,3,3,3,3
2803,2,3,3,4
2804,2,3,3,3
2805,2,2,3,3
2806,1,1,1,2
2807,1,1,1,1
2808,1,1,1,1
2809,1,1,1,1
2810,2,2,2,3
2820,1,1,1,2
2821,2,2,2,2
2823,1,1,1,2
2824,2,1,2,3
2825,2,2,2,2
2827,1,1,2,2
2828,1,1,1,2
2829,1,1,1,3
2830,3,3,3,2
2831,1,1,1,4
2832,1,1,1,2
2833,1,1,1,2
2834,1,1,1,1
2835,3,3,3,1
2836,1,1,1,1
2839,1,1,1,1
2840,2,1,1,3
2842,1,1,1,1
2843,1,1,1,1
2844,2,2,2,3
2845,1,1,2,1
2846,2,2,2,3
2847,1,2,2,1
2848,1,1,1,1
2849,1,2,2,2
2850,3,3,2,2
2852,2,2,2,1
2864,1,2,2,1
2865,2,3,3,2
2866,3,4,4,4
2867,2,3,3,3
2868,2,2,3,3
2869,1,1,1,2
2870,2,2,2,1
2871,2,2,2,2
2873,1,2,2,3
2874,3,4,4,4
2875,1,2,2,3
2876,1,2,2,1
2877,1,1,1,2
2878,4,4,5,4
2879,1,1,1,1
2880,1,1,1,1
2898,4,4,3,4
2900,NA,NA,NA,NA
2902,NA,NA,NA,NA
2903,NA,NA,NA,NA
2904,NA,NA,NA,NA
2905,NA,NA,NA,NA
2906,NA,NA,NA,NA
2912,NA,NA,NA,NA
2913,NA,NA,NA,NA
2914,NA,NA,NA,NA
3000,5,3,1,5
3002,5,5,4,5
3003,5,5,3,5
3004,5,5,4,5
3005,5,5,4,5
3006,5,5,3,5
3008,5,5,5,5
3011,3,1,1,4
3012,2,1,1,3
3013,4,3,3,5
3015,4,4,3,4
3016,5,5,4,5
3018,4,3,2,3
3019,1,1,1,1
3020,1,1,1,1
3021,1,1,1,1
3022,1,1,1,1
3023,3,2,3,2
3024,3,3,3,1
3025,1,1,1,1
3026,3,3,4,1
3028,3,2,2,2
3029,4,4,4,2
3030,4,3,4,3
3031,4,1,1,5
3032,4,3,2,5
3033,4,4,4,3
3034,3,3,4,2
3036,5,5,5,4
3037,4,3,4,2
3038,4,4,5,3
3039,5,4,4,5
3040,5,5,4,5
3041,5,5,5,5
3042,4,3,3,3
3043,3,3,3,2
3044,4,3,3,4
3046,2,1,1,2
3047,1,1,1,1
3048,1,1,1,1
3049,3,3,3,2
3051,4,1,1,5
3052,5,5,3,5
3053,5,2,1,5
3054,5,5,4,5
3055,4,3,1,5
3056,5,3,2,5
3057,5,4,2,5
3058,4,2,2,4
3059,5,5,5,3
3060,1,1,1,1
3061,1,1,1,1
3064,3,2,4,1
3065,4,1,1,5
3066,3,1,1,4
3067,5,4,3,5
3068,5,5,3,5
3070,5,4,3,5
3071,4,3,1,5
3072,3,1,1,3
3073,2,1,1,2
3074,1,1,2,1
3075,1,1,1,1
3076,3,2,3,1
3078,5,5,4,5
3079,5,5,5,5
3081,1,1,1,3
3082,4,3,4,3
3083,4,3,4,3
3084,5,5,5,5
3085,5,5,4,5
3086,4,1,1,5
3087,4,4,3,3
3088,5,5,5,4
3089,5,5,5,4
3090,5,5,5,4
3091,5,5,5,4
3093,5,5,5,5
3094,5,5,4,5
3095,5,5,5,5
3096,5,5,5,4
3097,5,5,5,5
3099,5,5,5,4
3101,5,5,5,5
3102,5,5,5,5
3103,5,5,5,5
3104,5,5,5,5
3105,5,4,5,4
3106,5,5,5,5
3107,5,5,5,5
3108,5,4,5,5
3109,5,5,5,5
3111,5,5,5,5
3113,5,5,5,5
3114,5,5,5,5
3115,5,5,5,5
3116,4,5,5,3
3121,5,3,2,5
3122,5,5,4,5
3123,5,5,5,5
3124,5,5,5,5
3125,5,4,3,5
3126,5,5,5,5
3127,5,5,5,5
3128,5,4,2,5
3129,5,5,4,5
3130,5,5,4,5
3131,4,4,3,4
3132,5,4,4,5
3133,5,5,5,5
3134,4,4,4,4
3135,4,4,3,4
3136,4,4,4,4
3137,4,3,4,2
3138,4,4,4,3
3139,4,4,4,2
3140,4,4,4,3
3141,5,5,3,5
3142,5,5,5,5
3143,5,5,4,5
3144,5,5,5,5
3145,5,5,5,5
3146,5,5,5,5
3147,5,4,4,5
3148,4,3,2,5
3149,5,5,5,5
3150,5,5,5,5
3151,4,4,4,4
3152,5,5,5,4
3153,3,3,2,2
3154,4,4,4,3
3155,4,3,2,3
3156,4,4,4,3
3158,4,5,4,4
3159,5,5,5,4
3160,4,5,4,4
3161,5,5,5,5
3162,5,5,5,5
3163,5,4,3,5
3165,5,4,4,4
3166,4,4,3,5
3167,4,3,3,4
3168,4,2,1,5
3169,2,1,2,2
3170,4,4,4,4
3171,1,1,1,1
3172,3,2,3,2
3173,3,1,3,1
3174,1,1,1,1
3175,1,1,1,1
3177,1,1,1,1
3178,5,5,5,4
3179,4,4,4,3
3180,4,4,4,3
3181,5,4,3,5
3182,5,5,2,5
3183,5,4,2,5
3184,5,5,3,5
3185,5,5,4,5
3186,5,5,5,5
3187,5,5,5,5
3188,5,5,4,5
3189,4,4,3,4
3190,4,4,3,5
3191,5,5,5,5
3192,4,4,3,4
3193,5,5,5,5
3194,4,4,3,5
3195,5,5,5,4
3196,4,3,2,3
3197,4,4,4,4
3198,2,2,1,2
3199,4,3,2,3
3200,1,1,1,1
3201,3,2,2,1
3202,5,5,5,5
3204,5,5,4,5
3205,5,3,2,5
3206,5,5,5,5
3207,5,5,4,5
3211,4,5,5,3
3212,4,4,4,2
3214,1,1,1,1
3215,2,2,2,1
3216,4,4,3,4
3217,5,5,5,5
3218,3,2,1,4
3219,1,1,1,1
3220,5,4,3,5
3221,4,4,5,3
3222,3,3,3,2
3223,2,2,2,2
3224,4,4,4,2
3225,4,4,3,5
3226,4,4,3,4
3227,5,5,4,5
3228,5,5,5,5
3230,4,4,3,4
3231,4,5,4,5
3232,4,4,4,4
3233,3,3,2,3
3235,3,4,4,4
3236,2,1,1,2
3238,4,4,4,4
3239,3,2,3,3
3240,4,5,5,4
3241,2,2,2,2
3242,2,3,2,3
3243,2,2,3,4
3249,2,2,4,3
3250,1,1,1,1
3251,1,1,2,1
3260,2,2,2,2
3264,1,1,1,1
3265,3,4,4,4
3266,2,3,4,2
3268,3,3,4,3
3269,4,4,4,4
3270,3,4,3,3
3271,4,4,5,5
3272,1,2,2,3
3274,3,3,3,5
3275,3,4,5,3
3276,3,3,4,3
3277,4,4,4,3
3278,3,4,5,3
3279,4,4,5,3
3280,3,2,2,2
3281,5,5,5,4
3282,2,2,2,2
3283,3,4,5,4
3284,3,2,2,3
3285,3,4,4,3
3286,2,3,4,4
3287,2,3,4,3
3289,2,2,2,3
3292,2,2,2,2
3293,2,2,3,3
3294,4,4,4,5
3300,2,2,2,2
3301,4,5,4,5
3302,2,2,3,4
3303,3,3,4,4
3304,1,1,1,1
3305,2,2,2,1
3310,1,1,2,1
3311,1,1,1,1
3312,2,3,3,4
3314,4,4,4,4
3315,2,2,1,3
3317,1,1,2,1
3318,2,2,2,3
3319,1,1,2,2
3321,3,4,4,3
3322,1,1,1,1
3323,4,5,5,5
3324,1,1,2,4
3325,2,3,3,4
3328,4,4,5,2
3330,2,2,2,4
3331,4,4,5,3
3332,3,3,4,1
3333,2,2,2,2
3334,2,2,2,2
3335,1,1,1,1
3337,3,2,3,1
3338,2,2,2,1
3340,3,3,3,2
3341,4,4,4,3
3342,3,2,3,2
3345,3,2,3,2
3350,4,3,2,4
3351,3,3,3,2
3352,3,4,4,3
3355,1,1,1,1
3356,1,1,1,1
3357,4,5,3,4
3360,1,1,1,2
3361,1,2,2,2
3363,2,2,1,2
3364,3,3,3,4
3370,1,1,1,1
3371,1,1,1,1
3373,1,1,1,1
3375,3,4,4,5
3377,1,1,1,1
3379,3,3,3,4
3380,1,1,1,1
3381,3,4,4,4
3384,2,3,2,4
3387,2,3,4,4
3388,1,2,1,3
3390,1,2,1,2
3391,2,3,3,4
3392,1,1,1,1
3393,1,1,1,1
3395,1,2,2,3
3396,2,2,1,3
3400,2,2,1,2
3401,3,4,4,4
3407,3,3,3,5
3409,2,3,3,4
3412,1,1,1,1
3413,4,5,4,4
3414,1,1,1,1
3418,2,2,2,3
3419,1,2,2,2
3420,2,4,4,4
3423,1,1,1,1
3424,2,2,2,3
3427,3,3,4,1
3428,4,5,5,2
3429,4,4,4,3
3431,5,5,5,4
3434,4,4,5,3
3435,4,4,4,3
3437,5,5,5,4
3438,5,5,5,4
3440,5,5,5,5
3441,5,5,5,5
3442,4,4,4,4
3444,3,3,2,3
3446,2,3,2,2
3447,3,3,3,4
3448,2,2,2,2
3450,2,2,1,3
3451,2,2,2,3
3453,4,4,4,4
3458,3,2,2,3
3460,2,1,1,3
3461,3,3,2,4
3462,2,2,1,3
3463,3,2,2,4
3464,1,1,1,1
3465,1,1,1,1
3467,1,1,1,1
3468,1,2,2,3
3469,2,1,1,4
3472,1,1,1,1
3475,1,1,1,2
3478,1,1,1,1
3480,1,1,1,2
3482,1,2,2,3
3483,2,2,1,4
3485,1,1,1,2
3487,2,2,3,4
3490,2,2,2,3
3491,2,3,4,4
3494,1,2,2,2
3496,1,1,2,1
3498,3,3,3,2
3500,2,1,1,1
3501,3,3,4,2
3505,2,2,2,1
3507,2,3,2,4
3509,1,2,2,4
3512,2,3,3,3
3515,3,3,3,2
3516,1,1,2,2
3517,1,1,1,1
3518,1,1,1,1
3520,1,1,1,1
3521,2,2,3,2
3522,2,2,3,3
3523,1,1,1,1
3525,1,2,1,2
3527,1,1,1,1
3529,3,4,4,5
3530,2,4,3,4
3531,3,4,4,4
3533,1,1,1,2
3537,2,2,2,3
3540,1,1,2,3
3542,2,3,3,4
3544,2,3,3,4
3546,1,1,1,3
3549,1,1,1,1
3550,3,2,1,3
3551,4,4,5,3
3555,2,1,1,1
3556,1,1,1,1
3557,2,3,3,2
3558,1,1,1,1
3559,2,2,3,3
3561,2,2,3,2
3562,2,4,3,3
3563,1,2,2,2
3564,2,2,2,1
3566,1,1,1,2
3567,1,2,2,2
3568,2,3,3,2
3570,2,2,3,1
3571,2,3,4,4
3573,2,3,3,3
3575,1,1,1,2
3579,1,2,2,2
3580,1,1,1,1
3581,3,4,4,4
3584,2,2,2,2
3585,2,2,1,2
3586,4,4,5,2
3588,1,1,2,1
3589,3,3,3,3
3590,3,3,4,3
3591,2,2,1,3
3594,1,1,2,1
3595,1,1,1,1
3597,3,3,3,3
3599,1,2,2,3
3608,2,2,2,1
3610,2,2,2,2
3612,1,1,2,1
3614,3,4,4,2
3616,2,2,2,2
3618,1,1,3,1
3620,2,2,2,1
3621,1,1,2,1
3622,3,4,5,3
3623,2,2,3,2
3624,1,2,2,1
3629,1,1,1,1
3630,2,1,1,1
3631,4,4,5,3
3633,4,4,5,3
3634,3,4,5,2
3635,2,2,3,2
3636,2,2,2,2
3637,3,4,5,3
3638,1,1,1,1
3639,1,1,3,2
3640,3,4,5,3
3641,1,1,2,1
3644,1,1,2,1
3646,3,3,4,4
3649,2,2,3,3
3658,2,2,2,1
3659,3,3,4,3
3660,1,1,1,1
3662,5,5,3,4
3664,3,3,3,2
3665,3,3,3,4
3666,1,1,1,2
3669,2,2,2,4
3670,2,2,3,2
3672,1,1,1,1
3673,3,4,4,4
3675,3,4,4,4
3677,2,1,1,1
3678,4,4,5,4
3682,3,4,4,3
3683,2,2,3,1
3685,2,2,2,2
3687,2,2,3,1
3688,4,4,4,2
3690,3,2,2,2
3691,4,5,5,3
3695,4,4,5,4
3697,4,4,3,4
3698,4,4,3,4
3699,1,1,1,1
3700,3,2,2,3
3701,2,3,3,4
3705,2,3,3,4
3707,2,2,1,2
3709,2,2,1,4
3711,3,3,3,2
3712,2,3,3,1
3713,1,1,1,1
3714,2,2,2,3
3717,3,3,3,3
3719,3,3,4,5
3720,3,3,4,3
3722,3,3,2,2
3723,3,3,3,4
3725,3,3,4,4
3726,2,2,3,3
3727,2,3,4,4
3728,1,2,3,2
3730,2,2,2,1
3732,1,2,2,3
3733,1,1,1,4
3735,3,4,4,3
3737,1,1,1,1
3738,2,3,3,2
3739,3,3,3,4
3740,3,3,3,2
3741,3,3,2,3
3744,4,4,4,4
3746,2,2,2,2
3747,4,3,2,4
3749,4,5,4,4
3750,3,3,5,1
3752,4,4,5,3
3753,4,4,5,2
3754,5,5,5,4
3756,4,4,4,2
3757,4,4,4,3
3758,4,4,4,2
3759,5,5,5,5
3761,5,5,5,5
3763,4,3,3,3
3764,4,4,4,2
3765,4,5,5,4
3766,5,5,5,5
3767,5,5,5,5
3770,4,4,5,2
3775,4,5,5,4
3777,3,2,2,2
3778,2,3,3,2
3779,2,2,2,2
3781,3,3,3,2
3782,4,5,5,4
3783,4,4,4,3
3786,5,5,5,5
3787,5,5,5,5
3788,5,5,5,5
3789,5,5,5,5
3791,5,5,5,5
3792,5,5,5,5
3793,4,4,4,3
3795,4,4,5,3
3796,4,4,4,3
3797,2,2,2,2
3799,1,1,1,1
3802,4,3,4,3
3803,3,2,3,1
3804,5,5,5,4
3805,4,4,5,2
3806,5,5,5,4
3807,5,5,5,3
3808,5,5,5,4
3809,4,5,5,3
3810,3,3,3,1
3812,4,5,5,3
3813,3,3,3,1
3814,3,3,4,2
3815,3,3,4,2
3816,3,3,4,2
3818,2,2,3,2
3820,3,3,2,3
3821,4,4,4,4
3822,3,3,4,3
3823,3,3,3,3
3824,2,3,2,2
3825,1,1,1,1
3831,3,3,3,3
3832,2,2,2,4
3833,1,1,2,1
3835,1,1,1,1
3840,1,1,1,1
3842,2,1,1,1
3844,3,2,2,2
3847,2,2,2,2
3850,2,2,1,2
3851,2,2,3,2
3854,3,4,4,2
3856,2,2,2,1
3857,3,4,4,3
3858,1,2,2,1
3859,4,4,5,4
3860,2,2,2,2
3862,3,2,3,2
3865,1,1,1,1
3869,4,4,4,3
3870,3,2,2,3
3871,3,3,3,3
3874,2,3,3,4
3875,2,2,1,2
3878,4,3,3,4
3880,3,2,2,2
3882,3,3,3,2
3885,2,2,2,2
3886,2,3,3,3
3887,1,1,1,1
3888,1,1,1,1
3889,2,2,2,4
3890,1,1,1,1
3891,2,2,2,5
3892,1,1,1,2
3895,1,1,2,4
3896,1,1,1,2
3898,3,3,2,3
3900,2,3,3,4
3902,2,2,2,2
3904,3,3,3,4
3909,1,1,1,1
3910,4,4,4,2
3911,3,3,3,2
3912,4,4,4,2
3913,4,4,5,2
3915,1,1,1,1
3916,5,5,5,5
3918,4,4,5,2
3919,2,2,2,1
3920,4,5,3,4
